id,y,campaign,contact_group,contact,month,day,age,job,education,balance,poutcome
1,no,1,Low Contact,unknown,may,5,58,management,tertiary,2143,unknown
2,no,1,Low Contact,unknown,may,5,44,technician,secondary,29,unknown
3,no,1,Low Contact,unknown,may,5,33,entrepreneur,secondary,2,unknown
4,no,1,Low Contact,unknown,may,5,47,blue-collar,unknown,1506,unknown
5,no,1,Low Contact,unknown,may,5,33,unknown,unknown,1,unknown
6,no,1,Low Contact,unknown,may,5,35,management,tertiary,231,unknown
7,no,1,Low Contact,unknown,may,5,28,management,tertiary,447,unknown
8,no,1,Low Contact,unknown,may,5,42,entrepreneur,tertiary,2,unknown
9,no,1,Low Contact,unknown,may,5,58,retired,primary,121,unknown
10,no,1,Low Contact,unknown,may,5,43,technician,secondary,593,unknown
11,no,1,Low Contact,unknown,may,5,41,admin,secondary,270,unknown
12,no,1,Low Contact,unknown,may,5,29,admin,secondary,390,unknown
13,no,1,Low Contact,unknown,may,5,53,technician,secondary,6,unknown
14,no,1,Low Contact,unknown,may,5,58,technician,unknown,71,unknown
15,no,1,Low Contact,unknown,may,5,57,services,secondary,162,unknown
16,no,1,Low Contact,unknown,may,5,51,retired,primary,229,unknown
17,no,1,Low Contact,unknown,may,5,45,admin,unknown,13,unknown
18,no,1,Low Contact,unknown,may,5,57,blue-collar,primary,52,unknown
19,no,1,Low Contact,unknown,may,5,60,retired,primary,60,unknown
20,no,1,Low Contact,unknown,may,5,33,services,secondary,0,unknown
21,no,1,Low Contact,unknown,may,5,28,blue-collar,secondary,723,unknown
22,no,1,Low Contact,unknown,may,5,56,management,tertiary,779,unknown
23,no,1,Low Contact,unknown,may,5,32,blue-collar,primary,23,unknown
24,no,1,Low Contact,unknown,may,5,25,services,secondary,50,unknown
25,no,1,Low Contact,unknown,may,5,40,retired,primary,0,unknown
26,no,1,Low Contact,unknown,may,5,44,admin,secondary,-372,unknown
27,no,1,Low Contact,unknown,may,5,39,management,tertiary,255,unknown
28,no,1,Low Contact,unknown,may,5,52,entrepreneur,secondary,113,unknown
29,no,2,Low Contact,unknown,may,5,46,management,secondary,-246,unknown
30,no,1,Low Contact,unknown,may,5,36,technician,secondary,265,unknown
31,no,1,Low Contact,unknown,may,5,57,technician,secondary,839,unknown
32,no,1,Low Contact,unknown,may,5,49,management,tertiary,378,unknown
33,no,1,Low Contact,unknown,may,5,60,admin,secondary,39,unknown
34,no,1,Low Contact,unknown,may,5,59,blue-collar,secondary,0,unknown
35,no,1,Low Contact,unknown,may,5,51,management,tertiary,10635,unknown
36,no,1,Low Contact,unknown,may,5,57,technician,secondary,63,unknown
37,no,1,Low Contact,unknown,may,5,25,blue-collar,secondary,-7,unknown
38,no,1,Low Contact,unknown,may,5,53,technician,secondary,-3,unknown
39,no,1,Low Contact,unknown,may,5,36,admin,secondary,506,unknown
40,no,1,Low Contact,unknown,may,5,37,admin,secondary,0,unknown
41,no,1,Low Contact,unknown,may,5,44,services,secondary,2586,unknown
42,no,2,Low Contact,unknown,may,5,50,management,secondary,49,unknown
43,no,1,Low Contact,unknown,may,5,60,blue-collar,unknown,104,unknown
44,no,1,Low Contact,unknown,may,5,54,retired,secondary,529,unknown
45,no,1,Low Contact,unknown,may,5,58,retired,unknown,96,unknown
46,no,1,Low Contact,unknown,may,5,36,admin,primary,-171,unknown
47,no,1,Low Contact,unknown,may,5,58,self-employed,tertiary,-364,unknown
48,no,2,Low Contact,unknown,may,5,44,technician,secondary,0,unknown
49,no,1,Low Contact,unknown,may,5,55,technician,secondary,0,unknown
50,no,1,Low Contact,unknown,may,5,29,management,tertiary,0,unknown
51,no,1,Low Contact,unknown,may,5,54,blue-collar,secondary,1291,unknown
52,no,1,Low Contact,unknown,may,5,48,management,tertiary,-244,unknown
53,no,1,Low Contact,unknown,may,5,32,management,tertiary,0,unknown
54,no,1,Low Contact,unknown,may,5,42,admin,secondary,-76,unknown
55,no,1,Low Contact,unknown,may,5,24,technician,secondary,-103,unknown
56,no,1,Low Contact,unknown,may,5,38,entrepreneur,tertiary,243,unknown
57,no,1,Low Contact,unknown,may,5,38,management,tertiary,424,unknown
58,no,1,Low Contact,unknown,may,5,47,blue-collar,unknown,306,unknown
59,no,1,Low Contact,unknown,may,5,40,blue-collar,unknown,24,unknown
60,no,1,Low Contact,unknown,may,5,46,services,primary,179,unknown
61,no,1,Low Contact,unknown,may,5,32,admin,tertiary,0,unknown
62,no,1,Low Contact,unknown,may,5,53,technician,secondary,989,unknown
63,no,1,Low Contact,unknown,may,5,57,blue-collar,primary,249,unknown
64,no,1,Low Contact,unknown,may,5,33,services,secondary,790,unknown
65,no,1,Low Contact,unknown,may,5,49,blue-collar,unknown,154,unknown
66,no,1,Low Contact,unknown,may,5,51,management,tertiary,6530,unknown
67,no,1,Low Contact,unknown,may,5,60,retired,tertiary,100,unknown
68,no,1,Low Contact,unknown,may,5,59,management,tertiary,59,unknown
69,no,2,Low Contact,unknown,may,5,55,technician,secondary,1205,unknown
70,no,1,Low Contact,unknown,may,5,35,blue-collar,secondary,12223,unknown
71,no,1,Low Contact,unknown,may,5,57,blue-collar,secondary,5935,unknown
72,no,1,Low Contact,unknown,may,5,31,services,secondary,25,unknown
73,no,1,Low Contact,unknown,may,5,54,management,secondary,282,unknown
74,no,1,Low Contact,unknown,may,5,55,blue-collar,primary,23,unknown
75,no,1,Low Contact,unknown,may,5,43,technician,secondary,1937,unknown
4376,no,2,Low Contact,unknown,may,19,46,retired,primary,0,unknown
76,no,1,Low Contact,unknown,may,5,53,technician,secondary,384,unknown
77,no,1,Low Contact,unknown,may,5,44,blue-collar,secondary,582,unknown
78,no,1,Low Contact,unknown,may,5,55,services,secondary,91,unknown
79,no,1,Low Contact,unknown,may,5,49,services,secondary,0,unknown
80,no,1,Low Contact,unknown,may,5,55,services,secondary,1,unknown
81,no,1,Low Contact,unknown,may,5,45,admin,secondary,206,unknown
82,no,1,Low Contact,unknown,may,5,47,services,secondary,164,unknown
83,no,1,Low Contact,unknown,may,5,42,technician,secondary,690,unknown
84,yes,1,Low Contact,unknown,may,5,59,admin,secondary,2343,unknown
85,no,1,Low Contact,unknown,may,5,46,self-employed,tertiary,137,unknown
86,no,2,Low Contact,unknown,may,5,51,blue-collar,primary,173,unknown
87,yes,1,Low Contact,unknown,may,5,56,admin,secondary,45,unknown
88,yes,1,Low Contact,unknown,may,5,41,technician,secondary,1270,unknown
89,no,2,Low Contact,unknown,may,5,46,management,secondary,16,unknown
90,no,2,Low Contact,unknown,may,5,57,retired,secondary,486,unknown
91,no,1,Low Contact,unknown,may,5,42,management,secondary,50,unknown
92,no,2,Low Contact,unknown,may,5,30,technician,secondary,152,unknown
93,no,1,Low Contact,unknown,may,5,60,admin,secondary,290,unknown
94,no,1,Low Contact,unknown,may,5,60,blue-collar,unknown,54,unknown
95,no,1,Low Contact,unknown,may,5,57,entrepreneur,secondary,-37,unknown
96,no,1,Low Contact,unknown,may,5,36,management,tertiary,101,unknown
97,no,1,Low Contact,unknown,may,5,55,blue-collar,secondary,383,unknown
98,no,1,Low Contact,unknown,may,5,60,retired,tertiary,81,unknown
99,no,1,Low Contact,unknown,may,5,39,technician,secondary,0,unknown
100,no,1,Low Contact,unknown,may,5,46,management,tertiary,229,unknown
101,no,1,Low Contact,unknown,may,5,44,blue-collar,secondary,-674,unknown
102,no,1,Low Contact,unknown,may,5,53,blue-collar,primary,90,unknown
103,no,1,Low Contact,unknown,may,5,52,blue-collar,primary,128,unknown
104,no,3,High Contact,unknown,may,5,59,blue-collar,primary,179,unknown
105,no,1,Low Contact,unknown,may,5,27,technician,tertiary,0,unknown
106,no,1,Low Contact,unknown,may,5,44,blue-collar,secondary,54,unknown
107,no,1,Low Contact,unknown,may,5,47,technician,tertiary,151,unknown
108,no,1,Low Contact,unknown,may,5,34,admin,secondary,61,unknown
109,no,1,Low Contact,unknown,may,5,59,retired,secondary,30,unknown
110,no,2,Low Contact,unknown,may,5,45,management,tertiary,523,unknown
111,no,1,Low Contact,unknown,may,5,29,services,secondary,31,unknown
112,no,1,Low Contact,unknown,may,5,46,technician,secondary,79,unknown
113,no,2,Low Contact,unknown,may,5,56,self-employed,primary,-34,unknown
114,no,1,Low Contact,unknown,may,5,36,blue-collar,primary,448,unknown
115,no,1,Low Contact,unknown,may,5,59,retired,primary,81,unknown
116,no,2,Low Contact,unknown,may,5,44,blue-collar,secondary,144,unknown
117,no,1,Low Contact,unknown,may,5,41,admin,secondary,351,unknown
118,no,1,Low Contact,unknown,may,5,33,management,tertiary,-67,unknown
119,no,1,Low Contact,unknown,may,5,59,management,tertiary,262,unknown
120,no,1,Low Contact,unknown,may,5,57,technician,primary,0,unknown
121,no,1,Low Contact,unknown,may,5,56,technician,unknown,56,unknown
122,no,1,Low Contact,unknown,may,5,51,blue-collar,secondary,26,unknown
123,no,3,High Contact,unknown,may,5,34,admin,unknown,3,unknown
124,no,2,Low Contact,unknown,may,5,43,services,secondary,41,unknown
125,no,1,Low Contact,unknown,may,5,52,technician,tertiary,7,unknown
126,no,2,Low Contact,unknown,may,5,33,technician,secondary,105,unknown
127,no,1,Low Contact,unknown,may,5,29,admin,secondary,818,unknown
128,no,1,Low Contact,unknown,may,5,34,services,secondary,-16,unknown
129,no,1,Low Contact,unknown,may,5,31,blue-collar,secondary,0,unknown
130,yes,1,Low Contact,unknown,may,5,55,services,secondary,2476,unknown
131,no,1,Low Contact,unknown,may,5,55,management,unknown,1185,unknown
132,no,1,Low Contact,unknown,may,5,32,admin,secondary,217,unknown
133,no,1,Low Contact,unknown,may,5,38,technician,secondary,1685,unknown
134,no,2,Low Contact,unknown,may,5,55,admin,secondary,802,unknown
135,no,2,Low Contact,unknown,may,5,28,unemployed,tertiary,0,unknown
136,no,1,Low Contact,unknown,may,5,23,blue-collar,secondary,94,unknown
137,no,1,Low Contact,unknown,may,5,32,technician,secondary,0,unknown
138,no,1,Low Contact,unknown,may,5,43,services,unknown,0,unknown
139,no,1,Low Contact,unknown,may,5,32,blue-collar,secondary,517,unknown
140,no,1,Low Contact,unknown,may,5,46,blue-collar,secondary,265,unknown
141,no,1,Low Contact,unknown,may,5,53,housemaid,primary,947,unknown
142,no,1,Low Contact,unknown,may,5,34,self-employed,secondary,3,unknown
143,no,1,Low Contact,unknown,may,5,57,unemployed,tertiary,42,unknown
144,no,1,Low Contact,unknown,may,5,37,blue-collar,secondary,37,unknown
145,no,1,Low Contact,unknown,may,5,59,blue-collar,secondary,57,unknown
146,no,1,Low Contact,unknown,may,5,33,services,secondary,22,unknown
147,no,2,Low Contact,unknown,may,5,56,blue-collar,primary,8,unknown
148,no,1,Low Contact,unknown,may,5,48,unemployed,secondary,293,unknown
149,no,2,Low Contact,unknown,may,5,43,services,primary,3,unknown
150,no,2,Low Contact,unknown,may,5,54,blue-collar,primary,348,unknown
151,no,2,Low Contact,unknown,may,5,51,blue-collar,unknown,-19,unknown
152,no,2,Low Contact,unknown,may,5,26,student,secondary,0,unknown
153,no,1,Low Contact,unknown,may,5,40,management,tertiary,-4,unknown
154,no,1,Low Contact,unknown,may,5,39,management,secondary,18,unknown
155,no,2,Low Contact,unknown,may,5,50,technician,primary,139,unknown
156,no,2,Low Contact,unknown,may,5,41,services,secondary,0,unknown
157,no,1,Low Contact,unknown,may,5,51,blue-collar,unknown,1883,unknown
158,no,1,Low Contact,unknown,may,5,60,retired,secondary,216,unknown
159,no,3,High Contact,unknown,may,5,52,blue-collar,secondary,782,unknown
160,no,2,Low Contact,unknown,may,5,48,blue-collar,secondary,904,unknown
161,no,1,Low Contact,unknown,may,5,48,services,unknown,1705,unknown
162,no,1,Low Contact,unknown,may,5,39,technician,tertiary,47,unknown
163,no,2,Low Contact,unknown,may,5,47,services,secondary,176,unknown
164,no,5,High Contact,unknown,may,5,40,blue-collar,secondary,1225,unknown
165,no,1,Low Contact,unknown,may,5,45,technician,secondary,86,unknown
166,no,1,Low Contact,unknown,may,5,26,admin,secondary,82,unknown
167,no,1,Low Contact,unknown,may,5,52,management,tertiary,271,unknown
168,no,1,Low Contact,unknown,may,5,54,technician,secondary,1378,unknown
169,yes,2,Low Contact,unknown,may,5,54,admin,tertiary,184,unknown
170,no,3,High Contact,unknown,may,5,50,blue-collar,primary,0,unknown
171,no,1,Low Contact,unknown,may,5,35,blue-collar,secondary,0,unknown
172,no,1,Low Contact,unknown,may,5,44,services,secondary,1357,unknown
173,no,1,Low Contact,unknown,may,5,53,entrepreneur,unknown,19,unknown
174,no,1,Low Contact,unknown,may,5,35,retired,primary,434,unknown
175,no,1,Low Contact,unknown,may,5,60,admin,secondary,92,unknown
176,no,1,Low Contact,unknown,may,5,53,admin,secondary,1151,unknown
177,no,2,Low Contact,unknown,may,5,48,unemployed,secondary,41,unknown
178,no,2,Low Contact,unknown,may,5,34,technician,secondary,51,unknown
179,no,2,Low Contact,unknown,may,5,54,services,secondary,214,unknown
180,no,1,Low Contact,unknown,may,5,51,management,secondary,1161,unknown
181,no,1,Low Contact,unknown,may,5,31,services,tertiary,37,unknown
182,no,2,Low Contact,unknown,may,5,35,technician,secondary,787,unknown
183,no,1,Low Contact,unknown,may,5,35,services,secondary,59,unknown
184,no,1,Low Contact,unknown,may,5,38,technician,secondary,253,unknown
185,no,2,Low Contact,unknown,may,5,36,admin,tertiary,211,unknown
186,no,1,Low Contact,unknown,may,5,58,retired,primary,235,unknown
187,no,1,Low Contact,unknown,may,5,40,services,unknown,4384,unknown
188,no,1,Low Contact,unknown,may,5,54,management,secondary,4080,unknown
189,no,1,Low Contact,unknown,may,5,34,blue-collar,secondary,53,unknown
190,no,1,Low Contact,unknown,may,5,31,management,tertiary,0,unknown
191,no,1,Low Contact,unknown,may,5,51,retired,secondary,2127,unknown
192,no,1,Low Contact,unknown,may,5,33,management,tertiary,377,unknown
193,no,2,Low Contact,unknown,may,5,55,management,tertiary,73,unknown
194,no,1,Low Contact,unknown,may,5,42,admin,secondary,445,unknown
195,no,1,Low Contact,unknown,may,5,34,blue-collar,secondary,243,unknown
196,no,2,Low Contact,unknown,may,5,33,blue-collar,secondary,307,unknown
197,no,1,Low Contact,unknown,may,5,38,services,secondary,155,unknown
198,no,1,Low Contact,unknown,may,5,50,technician,tertiary,173,unknown
199,no,1,Low Contact,unknown,may,5,43,management,tertiary,400,unknown
200,no,2,Low Contact,unknown,may,5,61,blue-collar,primary,1428,unknown
201,no,1,Low Contact,unknown,may,5,47,admin,secondary,219,unknown
202,no,1,Low Contact,unknown,may,5,48,self-employed,tertiary,7,unknown
203,no,1,Low Contact,unknown,may,5,44,blue-collar,secondary,575,unknown
204,no,2,Low Contact,unknown,may,5,35,student,unknown,298,unknown
205,no,1,Low Contact,unknown,may,5,35,services,secondary,0,unknown
206,no,2,Low Contact,unknown,may,5,50,services,secondary,5699,unknown
207,no,1,Low Contact,unknown,may,5,41,management,tertiary,176,unknown
208,no,1,Low Contact,unknown,may,5,41,management,tertiary,517,unknown
209,no,1,Low Contact,unknown,may,5,39,services,unknown,257,unknown
210,no,1,Low Contact,unknown,may,5,42,retired,secondary,56,unknown
211,no,1,Low Contact,unknown,may,5,38,blue-collar,secondary,-390,unknown
212,no,2,Low Contact,unknown,may,5,53,retired,secondary,330,unknown
213,no,2,Low Contact,unknown,may,5,59,housemaid,primary,195,unknown
214,no,1,Low Contact,unknown,may,5,36,services,secondary,301,unknown
215,no,1,Low Contact,unknown,may,5,54,blue-collar,primary,-41,unknown
216,no,1,Low Contact,unknown,may,5,40,technician,tertiary,483,unknown
217,no,2,Low Contact,unknown,may,5,47,unknown,unknown,28,unknown
218,no,3,High Contact,unknown,may,5,53,unemployed,unknown,13,unknown
219,no,1,Low Contact,unknown,may,5,46,housemaid,primary,965,unknown
220,no,2,Low Contact,unknown,may,5,39,management,tertiary,378,unknown
221,no,1,Low Contact,unknown,may,5,40,unemployed,secondary,219,unknown
222,no,1,Low Contact,unknown,may,5,28,blue-collar,primary,324,unknown
223,no,1,Low Contact,unknown,may,5,35,entrepreneur,secondary,-69,unknown
224,no,1,Low Contact,unknown,may,5,55,retired,secondary,0,unknown
225,no,1,Low Contact,unknown,may,5,43,technician,unknown,205,unknown
226,no,2,Low Contact,unknown,may,5,48,blue-collar,primary,278,unknown
227,no,3,High Contact,unknown,may,5,58,management,unknown,1065,unknown
228,no,1,Low Contact,unknown,may,5,33,management,tertiary,34,unknown
229,no,2,Low Contact,unknown,may,5,36,blue-collar,unknown,1033,unknown
230,no,1,Low Contact,unknown,may,5,53,services,secondary,1467,unknown
231,no,1,Low Contact,unknown,may,5,47,blue-collar,primary,-12,unknown
232,no,2,Low Contact,unknown,may,5,31,services,secondary,388,unknown
233,no,2,Low Contact,unknown,may,5,57,entrepreneur,secondary,294,unknown
234,no,1,Low Contact,unknown,may,5,53,blue-collar,unknown,1827,unknown
235,no,1,Low Contact,unknown,may,5,55,blue-collar,primary,627,unknown
236,no,1,Low Contact,unknown,may,5,45,blue-collar,primary,25,unknown
237,no,2,Low Contact,unknown,may,5,53,admin,secondary,315,unknown
238,no,1,Low Contact,unknown,may,5,37,blue-collar,primary,0,unknown
239,no,1,Low Contact,unknown,may,5,44,admin,secondary,66,unknown
240,no,1,Low Contact,unknown,may,5,49,blue-collar,primary,-9,unknown
241,no,1,Low Contact,unknown,may,5,46,technician,secondary,349,unknown
242,no,1,Low Contact,unknown,may,5,43,entrepreneur,unknown,100,unknown
243,no,1,Low Contact,unknown,may,5,38,admin,secondary,0,unknown
244,no,1,Low Contact,unknown,may,5,43,technician,secondary,434,unknown
245,no,3,High Contact,unknown,may,5,49,management,tertiary,3237,unknown
246,no,2,Low Contact,unknown,may,5,42,management,unknown,275,unknown
