id,y,conversion,contact_group,age_group,balance_group,poutcome,job,education,month,balance
1,no,0,Low Contact,49-95,High Balance,unknown,management,tertiary,may,2143
2,no,0,Low Contact,40-48,Low Balance,unknown,technician,secondary,may,29
3,no,0,Low Contact,18-33,Low Balance,unknown,entrepreneur,secondary,may,2
4,no,0,Low Contact,40-48,High Balance,unknown,blue-collar,unknown,may,1506
5,no,0,Low Contact,18-33,Low Balance,unknown,unknown,unknown,may,1
6,no,0,Low Contact,33-39,Low Balance,unknown,management,tertiary,may,231
7,no,0,Low Contact,18-33,Mid Balance,unknown,management,tertiary,may,447
8,no,0,Low Contact,40-48,Low Balance,unknown,entrepreneur,tertiary,may,2
9,no,0,Low Contact,49-95,Low Balance,unknown,retired,primary,may,121
10,no,0,Low Contact,40-48,Mid Balance,unknown,technician,secondary,may,593
11,no,0,Low Contact,40-48,Low Balance,unknown,admin,secondary,may,270
12,no,0,Low Contact,18-33,Mid Balance,unknown,admin,secondary,may,390
13,no,0,Low Contact,49-95,Low Balance,unknown,technician,secondary,may,6
14,no,0,Low Contact,49-95,Low Balance,unknown,technician,unknown,may,71
15,no,0,Low Contact,49-95,Low Balance,unknown,services,secondary,may,162
16,no,0,Low Contact,49-95,Low Balance,unknown,retired,primary,may,229
17,no,0,Low Contact,40-48,Low Balance,unknown,admin,unknown,may,13
18,no,0,Low Contact,49-95,Low Balance,unknown,blue-collar,primary,may,52
19,no,0,Low Contact,49-95,Low Balance,unknown,retired,primary,may,60
20,no,0,Low Contact,18-33,Non-Positive,unknown,services,secondary,may,0
21,no,0,Low Contact,18-33,Mid Balance,unknown,blue-collar,secondary,may,723
22,no,0,Low Contact,49-95,Mid Balance,unknown,management,tertiary,may,779
23,no,0,Low Contact,18-33,Low Balance,unknown,blue-collar,primary,may,23
24,no,0,Low Contact,18-33,Low Balance,unknown,services,secondary,may,50
25,no,0,Low Contact,40-48,Non-Positive,unknown,retired,primary,may,0
26,no,0,Low Contact,40-48,Non-Positive,unknown,admin,secondary,may,-372
27,no,0,Low Contact,33-39,Low Balance,unknown,management,tertiary,may,255
28,no,0,Low Contact,49-95,Low Balance,unknown,entrepreneur,secondary,may,113
29,no,0,Low Contact,40-48,Non-Positive,unknown,management,secondary,may,-246
30,no,0,Low Contact,33-39,Low Balance,unknown,technician,secondary,may,265
31,no,0,Low Contact,49-95,Mid Balance,unknown,technician,secondary,may,839
32,no,0,Low Contact,49-95,Mid Balance,unknown,management,tertiary,may,378
33,no,0,Low Contact,49-95,Low Balance,unknown,admin,secondary,may,39
34,no,0,Low Contact,49-95,Non-Positive,unknown,blue-collar,secondary,may,0
35,no,0,Low Contact,49-95,High Balance,unknown,management,tertiary,may,10635
36,no,0,Low Contact,49-95,Low Balance,unknown,technician,secondary,may,63
37,no,0,Low Contact,18-33,Non-Positive,unknown,blue-collar,secondary,may,-7
38,no,0,Low Contact,49-95,Non-Positive,unknown,technician,secondary,may,-3
39,no,0,Low Contact,33-39,Mid Balance,unknown,admin,secondary,may,506
40,no,0,Low Contact,33-39,Non-Positive,unknown,admin,secondary,may,0
41,no,0,Low Contact,40-48,High Balance,unknown,services,secondary,may,2586
42,no,0,Low Contact,49-95,Low Balance,unknown,management,secondary,may,49
43,no,0,Low Contact,49-95,Low Balance,unknown,blue-collar,unknown,may,104
44,no,0,Low Contact,49-95,Mid Balance,unknown,retired,secondary,may,529
45,no,0,Low Contact,49-95,Low Balance,unknown,retired,unknown,may,96
46,no,0,Low Contact,33-39,Non-Positive,unknown,admin,primary,may,-171
47,no,0,Low Contact,49-95,Non-Positive,unknown,self-employed,tertiary,may,-364
48,no,0,Low Contact,40-48,Non-Positive,unknown,technician,secondary,may,0
49,no,0,Low Contact,49-95,Non-Positive,unknown,technician,secondary,may,0
50,no,0,Low Contact,18-33,Non-Positive,unknown,management,tertiary,may,0
51,no,0,Low Contact,49-95,High Balance,unknown,blue-collar,secondary,may,1291
52,no,0,Low Contact,40-48,Non-Positive,unknown,management,tertiary,may,-244
53,no,0,Low Contact,18-33,Non-Positive,unknown,management,tertiary,may,0
54,no,0,Low Contact,40-48,Non-Positive,unknown,admin,secondary,may,-76
55,no,0,Low Contact,18-33,Non-Positive,unknown,technician,secondary,may,-103
56,no,0,Low Contact,33-39,Low Balance,unknown,entrepreneur,tertiary,may,243
57,no,0,Low Contact,33-39,Mid Balance,unknown,management,tertiary,may,424
58,no,0,Low Contact,40-48,Low Balance,unknown,blue-collar,unknown,may,306
59,no,0,Low Contact,40-48,Low Balance,unknown,blue-collar,unknown,may,24
60,no,0,Low Contact,40-48,Low Balance,unknown,services,primary,may,179
61,no,0,Low Contact,18-33,Non-Positive,unknown,admin,tertiary,may,0
62,no,0,Low Contact,49-95,Mid Balance,unknown,technician,secondary,may,989
63,no,0,Low Contact,49-95,Low Balance,unknown,blue-collar,primary,may,249
64,no,0,Low Contact,18-33,Mid Balance,unknown,services,secondary,may,790
65,no,0,Low Contact,49-95,Low Balance,unknown,blue-collar,unknown,may,154
66,no,0,Low Contact,49-95,High Balance,unknown,management,tertiary,may,6530
67,no,0,Low Contact,49-95,Low Balance,unknown,retired,tertiary,may,100
68,no,0,Low Contact,49-95,Low Balance,unknown,management,tertiary,may,59
69,no,0,Low Contact,49-95,Mid Balance,unknown,technician,secondary,may,1205
70,no,0,Low Contact,33-39,High Balance,unknown,blue-collar,secondary,may,12223
71,no,0,Low Contact,49-95,High Balance,unknown,blue-collar,secondary,may,5935
72,no,0,Low Contact,18-33,Low Balance,unknown,services,secondary,may,25
73,no,0,Low Contact,49-95,Low Balance,unknown,management,secondary,may,282
74,no,0,Low Contact,49-95,Low Balance,unknown,blue-collar,primary,may,23
75,no,0,Low Contact,40-48,High Balance,unknown,technician,secondary,may,1937
4376,no,0,Low Contact,40-48,Non-Positive,unknown,retired,primary,may,0
76,no,0,Low Contact,49-95,Mid Balance,unknown,technician,secondary,may,384
77,no,0,Low Contact,40-48,Mid Balance,unknown,blue-collar,secondary,may,582
78,no,0,Low Contact,49-95,Low Balance,unknown,services,secondary,may,91
79,no,0,Low Contact,49-95,Non-Positive,unknown,services,secondary,may,0
80,no,0,Low Contact,49-95,Low Balance,unknown,services,secondary,may,1
81,no,0,Low Contact,40-48,Low Balance,unknown,admin,secondary,may,206
82,no,0,Low Contact,40-48,Low Balance,unknown,services,secondary,may,164
83,no,0,Low Contact,40-48,Mid Balance,unknown,technician,secondary,may,690
84,yes,1,Low Contact,49-95,High Balance,unknown,admin,secondary,may,2343
85,no,0,Low Contact,40-48,Low Balance,unknown,self-employed,tertiary,may,137
86,no,0,Low Contact,49-95,Low Balance,unknown,blue-collar,primary,may,173
87,yes,1,Low Contact,49-95,Low Balance,unknown,admin,secondary,may,45
88,yes,1,Low Contact,40-48,High Balance,unknown,technician,secondary,may,1270
89,no,0,Low Contact,40-48,Low Balance,unknown,management,secondary,may,16
90,no,0,Low Contact,49-95,Mid Balance,unknown,retired,secondary,may,486
91,no,0,Low Contact,40-48,Low Balance,unknown,management,secondary,may,50
92,no,0,Low Contact,18-33,Low Balance,unknown,technician,secondary,may,152
93,no,0,Low Contact,49-95,Low Balance,unknown,admin,secondary,may,290
94,no,0,Low Contact,49-95,Low Balance,unknown,blue-collar,unknown,may,54
95,no,0,Low Contact,49-95,Non-Positive,unknown,entrepreneur,secondary,may,-37
96,no,0,Low Contact,33-39,Low Balance,unknown,management,tertiary,may,101
97,no,0,Low Contact,49-95,Mid Balance,unknown,blue-collar,secondary,may,383
98,no,0,Low Contact,49-95,Low Balance,unknown,retired,tertiary,may,81
99,no,0,Low Contact,33-39,Non-Positive,unknown,technician,secondary,may,0
100,no,0,Low Contact,40-48,Low Balance,unknown,management,tertiary,may,229
101,no,0,Low Contact,40-48,Non-Positive,unknown,blue-collar,secondary,may,-674
102,no,0,Low Contact,49-95,Low Balance,unknown,blue-collar,primary,may,90
103,no,0,Low Contact,49-95,Low Balance,unknown,blue-collar,primary,may,128
104,no,0,High Contact,49-95,Low Balance,unknown,blue-collar,primary,may,179
105,no,0,Low Contact,18-33,Non-Positive,unknown,technician,tertiary,may,0
106,no,0,Low Contact,40-48,Low Balance,unknown,blue-collar,secondary,may,54
107,no,0,Low Contact,40-48,Low Balance,unknown,technician,tertiary,may,151
108,no,0,Low Contact,33-39,Low Balance,unknown,admin,secondary,may,61
109,no,0,Low Contact,49-95,Low Balance,unknown,retired,secondary,may,30
110,no,0,Low Contact,40-48,Mid Balance,unknown,management,tertiary,may,523
111,no,0,Low Contact,18-33,Low Balance,unknown,services,secondary,may,31
112,no,0,Low Contact,40-48,Low Balance,unknown,technician,secondary,may,79
113,no,0,Low Contact,49-95,Non-Positive,unknown,self-employed,primary,may,-34
114,no,0,Low Contact,33-39,Mid Balance,unknown,blue-collar,primary,may,448
115,no,0,Low Contact,49-95,Low Balance,unknown,retired,primary,may,81
116,no,0,Low Contact,40-48,Low Balance,unknown,blue-collar,secondary,may,144
117,no,0,Low Contact,40-48,Mid Balance,unknown,admin,secondary,may,351
118,no,0,Low Contact,18-33,Non-Positive,unknown,management,tertiary,may,-67
119,no,0,Low Contact,49-95,Low Balance,unknown,management,tertiary,may,262
120,no,0,Low Contact,49-95,Non-Positive,unknown,technician,primary,may,0
121,no,0,Low Contact,49-95,Low Balance,unknown,technician,unknown,may,56
122,no,0,Low Contact,49-95,Low Balance,unknown,blue-collar,secondary,may,26
123,no,0,High Contact,33-39,Low Balance,unknown,admin,unknown,may,3
124,no,0,Low Contact,40-48,Low Balance,unknown,services,secondary,may,41
125,no,0,Low Contact,49-95,Low Balance,unknown,technician,tertiary,may,7
126,no,0,Low Contact,18-33,Low Balance,unknown,technician,secondary,may,105
127,no,0,Low Contact,18-33,Mid Balance,unknown,admin,secondary,may,818
128,no,0,Low Contact,33-39,Non-Positive,unknown,services,secondary,may,-16
129,no,0,Low Contact,18-33,Non-Positive,unknown,blue-collar,secondary,may,0
130,yes,1,Low Contact,49-95,High Balance,unknown,services,secondary,may,2476
131,no,0,Low Contact,49-95,Mid Balance,unknown,management,unknown,may,1185
132,no,0,Low Contact,18-33,Low Balance,unknown,admin,secondary,may,217
133,no,0,Low Contact,33-39,High Balance,unknown,technician,secondary,may,1685
134,no,0,Low Contact,49-95,Mid Balance,unknown,admin,secondary,may,802
135,no,0,Low Contact,18-33,Non-Positive,unknown,unemployed,tertiary,may,0
136,no,0,Low Contact,18-33,Low Balance,unknown,blue-collar,secondary,may,94
137,no,0,Low Contact,18-33,Non-Positive,unknown,technician,secondary,may,0
138,no,0,Low Contact,40-48,Non-Positive,unknown,services,unknown,may,0
139,no,0,Low Contact,18-33,Mid Balance,unknown,blue-collar,secondary,may,517
140,no,0,Low Contact,40-48,Low Balance,unknown,blue-collar,secondary,may,265
141,no,0,Low Contact,49-95,Mid Balance,unknown,housemaid,primary,may,947
142,no,0,Low Contact,33-39,Low Balance,unknown,self-employed,secondary,may,3
143,no,0,Low Contact,49-95,Low Balance,unknown,unemployed,tertiary,may,42
144,no,0,Low Contact,33-39,Low Balance,unknown,blue-collar,secondary,may,37
145,no,0,Low Contact,49-95,Low Balance,unknown,blue-collar,secondary,may,57
146,no,0,Low Contact,18-33,Low Balance,unknown,services,secondary,may,22
147,no,0,Low Contact,49-95,Low Balance,unknown,blue-collar,primary,may,8
148,no,0,Low Contact,40-48,Low Balance,unknown,unemployed,secondary,may,293
149,no,0,Low Contact,40-48,Low Balance,unknown,services,primary,may,3
150,no,0,Low Contact,49-95,Mid Balance,unknown,blue-collar,primary,may,348
151,no,0,Low Contact,49-95,Non-Positive,unknown,blue-collar,unknown,may,-19
152,no,0,Low Contact,18-33,Non-Positive,unknown,student,secondary,may,0
153,no,0,Low Contact,40-48,Non-Positive,unknown,management,tertiary,may,-4
154,no,0,Low Contact,33-39,Low Balance,unknown,management,secondary,may,18
155,no,0,Low Contact,49-95,Low Balance,unknown,technician,primary,may,139
156,no,0,Low Contact,40-48,Non-Positive,unknown,services,secondary,may,0
157,no,0,Low Contact,49-95,High Balance,unknown,blue-collar,unknown,may,1883
158,no,0,Low Contact,49-95,Low Balance,unknown,retired,secondary,may,216
159,no,0,High Contact,49-95,Mid Balance,unknown,blue-collar,secondary,may,782
160,no,0,Low Contact,40-48,Mid Balance,unknown,blue-collar,secondary,may,904
161,no,0,Low Contact,40-48,High Balance,unknown,services,unknown,may,1705
162,no,0,Low Contact,33-39,Low Balance,unknown,technician,tertiary,may,47
163,no,0,Low Contact,40-48,Low Balance,unknown,services,secondary,may,176
164,no,0,High Contact,40-48,Mid Balance,unknown,blue-collar,secondary,may,1225
165,no,0,Low Contact,40-48,Low Balance,unknown,technician,secondary,may,86
166,no,0,Low Contact,18-33,Low Balance,unknown,admin,secondary,may,82
167,no,0,Low Contact,49-95,Low Balance,unknown,management,tertiary,may,271
168,no,0,Low Contact,49-95,High Balance,unknown,technician,secondary,may,1378
169,yes,1,Low Contact,49-95,Low Balance,unknown,admin,tertiary,may,184
170,no,0,High Contact,49-95,Non-Positive,unknown,blue-collar,primary,may,0
171,no,0,Low Contact,33-39,Non-Positive,unknown,blue-collar,secondary,may,0
172,no,0,Low Contact,40-48,High Balance,unknown,services,secondary,may,1357
173,no,0,Low Contact,49-95,Low Balance,unknown,entrepreneur,unknown,may,19
174,no,0,Low Contact,33-39,Mid Balance,unknown,retired,primary,may,434
175,no,0,Low Contact,49-95,Low Balance,unknown,admin,secondary,may,92
176,no,0,Low Contact,49-95,Mid Balance,unknown,admin,secondary,may,1151
177,no,0,Low Contact,40-48,Low Balance,unknown,unemployed,secondary,may,41
178,no,0,Low Contact,33-39,Low Balance,unknown,technician,secondary,may,51
179,no,0,Low Contact,49-95,Low Balance,unknown,services,secondary,may,214
180,no,0,Low Contact,49-95,Mid Balance,unknown,management,secondary,may,1161
181,no,0,Low Contact,18-33,Low Balance,unknown,services,tertiary,may,37
182,no,0,Low Contact,33-39,Mid Balance,unknown,technician,secondary,may,787
183,no,0,Low Contact,33-39,Low Balance,unknown,services,secondary,may,59
184,no,0,Low Contact,33-39,Low Balance,unknown,technician,secondary,may,253
185,no,0,Low Contact,33-39,Low Balance,unknown,admin,tertiary,may,211
186,no,0,Low Contact,49-95,Low Balance,unknown,retired,primary,may,235
187,no,0,Low Contact,40-48,High Balance,unknown,services,unknown,may,4384
188,no,0,Low Contact,49-95,High Balance,unknown,management,secondary,may,4080
189,no,0,Low Contact,33-39,Low Balance,unknown,blue-collar,secondary,may,53
190,no,0,Low Contact,18-33,Non-Positive,unknown,management,tertiary,may,0
191,no,0,Low Contact,49-95,High Balance,unknown,retired,secondary,may,2127
192,no,0,Low Contact,18-33,Mid Balance,unknown,management,tertiary,may,377
193,no,0,Low Contact,49-95,Low Balance,unknown,management,tertiary,may,73
194,no,0,Low Contact,40-48,Mid Balance,unknown,admin,secondary,may,445
195,no,0,Low Contact,33-39,Low Balance,unknown,blue-collar,secondary,may,243
196,no,0,Low Contact,18-33,Low Balance,unknown,blue-collar,secondary,may,307
197,no,0,Low Contact,33-39,Low Balance,unknown,services,secondary,may,155
198,no,0,Low Contact,49-95,Low Balance,unknown,technician,tertiary,may,173
199,no,0,Low Contact,40-48,Mid Balance,unknown,management,tertiary,may,400
200,no,0,Low Contact,49-95,High Balance,unknown,blue-collar,primary,may,1428
201,no,0,Low Contact,40-48,Low Balance,unknown,admin,secondary,may,219
202,no,0,Low Contact,40-48,Low Balance,unknown,self-employed,tertiary,may,7
203,no,0,Low Contact,40-48,Mid Balance,unknown,blue-collar,secondary,may,575
204,no,0,Low Contact,33-39,Low Balance,unknown,student,unknown,may,298
205,no,0,Low Contact,33-39,Non-Positive,unknown,services,secondary,may,0
206,no,0,Low Contact,49-95,High Balance,unknown,services,secondary,may,5699
207,no,0,Low Contact,40-48,Low Balance,unknown,management,tertiary,may,176
208,no,0,Low Contact,40-48,Mid Balance,unknown,management,tertiary,may,517
209,no,0,Low Contact,33-39,Low Balance,unknown,services,unknown,may,257
210,no,0,Low Contact,40-48,Low Balance,unknown,retired,secondary,may,56
211,no,0,Low Contact,33-39,Non-Positive,unknown,blue-collar,secondary,may,-390
212,no,0,Low Contact,49-95,Low Balance,unknown,retired,secondary,may,330
213,no,0,Low Contact,49-95,Low Balance,unknown,housemaid,primary,may,195
214,no,0,Low Contact,33-39,Low Balance,unknown,services,secondary,may,301
215,no,0,Low Contact,49-95,Non-Positive,unknown,blue-collar,primary,may,-41
216,no,0,Low Contact,40-48,Mid Balance,unknown,technician,tertiary,may,483
217,no,0,Low Contact,40-48,Low Balance,unknown,unknown,unknown,may,28
218,no,0,High Contact,49-95,Low Balance,unknown,unemployed,unknown,may,13
219,no,0,Low Contact,40-48,Mid Balance,unknown,housemaid,primary,may,965
220,no,0,Low Contact,33-39,Mid Balance,unknown,management,tertiary,may,378
221,no,0,Low Contact,40-48,Low Balance,unknown,unemployed,secondary,may,219
222,no,0,Low Contact,18-33,Low Balance,unknown,blue-collar,primary,may,324
223,no,0,Low Contact,33-39,Non-Positive,unknown,entrepreneur,secondary,may,-69
224,no,0,Low Contact,49-95,Non-Positive,unknown,retired,secondary,may,0
225,no,0,Low Contact,40-48,Low Balance,unknown,technician,unknown,may,205
226,no,0,Low Contact,40-48,Low Balance,unknown,blue-collar,primary,may,278
227,no,0,High Contact,49-95,Mid Balance,unknown,management,unknown,may,1065
228,no,0,Low Contact,18-33,Low Balance,unknown,management,tertiary,may,34
229,no,0,Low Contact,33-39,Mid Balance,unknown,blue-collar,unknown,may,1033
230,no,0,Low Contact,49-95,High Balance,unknown,services,secondary,may,1467
231,no,0,Low Contact,40-48,Non-Positive,unknown,blue-collar,primary,may,-12
232,no,0,Low Contact,18-33,Mid Balance,unknown,services,secondary,may,388
233,no,0,Low Contact,49-95,Low Balance,unknown,entrepreneur,secondary,may,294
234,no,0,Low Contact,49-95,High Balance,unknown,blue-collar,unknown,may,1827
235,no,0,Low Contact,49-95,Mid Balance,unknown,blue-collar,primary,may,627
236,no,0,Low Contact,40-48,Low Balance,unknown,blue-collar,primary,may,25
237,no,0,Low Contact,49-95,Low Balance,unknown,admin,secondary,may,315
238,no,0,Low Contact,33-39,Non-Positive,unknown,blue-collar,primary,may,0
239,no,0,Low Contact,40-48,Low Balance,unknown,admin,secondary,may,66
240,no,0,Low Contact,49-95,Non-Positive,unknown,blue-collar,primary,may,-9
241,no,0,Low Contact,40-48,Mid Balance,unknown,technician,secondary,may,349
242,no,0,Low Contact,40-48,Low Balance,unknown,entrepreneur,unknown,may,100
243,no,0,Low Contact,33-39,Non-Positive,unknown,admin,secondary,may,0
244,no,0,Low Contact,40-48,Mid Balance,unknown,technician,secondary,may,434
